AGAP000001	AGAP000001-RA
AGAP000002	AGAP000002-RA
AGAP000003	AGAP000003-RA
AGAP000004	AGAP000004-RA
AGAP000005	AGAP000005-RA
AGAP000006	AGAP000006-RA
AGAP000007	AGAP000007-RA
AGAP000008	AGAP000008-RA
AGAP000009	AGAP000009-RA
AGAP000010	AGAP000010-RA
AGAP000011	AGAP000011-RA
AGAP000012	AGAP000012-RA
AGAP000013	AGAP000013-RA
AGAP000014	AGAP000014-RA
AGAP000015	AGAP000015-RA
AGAP000016	AGAP000016-RA
AGAP000017	AGAP000017-RA
AGAP000018	AGAP000018-RA
AGAP000019	AGAP000019-RA
AGAP000020	AGAP000020-RA
AGAP000021	AGAP000021-RA
AGAP000022	AGAP000022-RA
AGAP000023	AGAP000023-RA
AGAP000024	AGAP000024-RA
AGAP000025	AGAP000025-RA
AGAP000026	AGAP000026-RA
AGAP000027	AGAP000027-RA
AGAP000028	AGAP000028-RA
AGAP000029	AGAP000029-RA
AGAP000030	AGAP000030-RA
AGAP000031	AGAP000031-RA
AGAP000031	AGAP000031-RB
AGAP000032	AGAP000032-RA
AGAP000033	AGAP000033-RA
AGAP000034	AGAP000034-RA
AGAP000035	AGAP000035-RA
AGAP000036	AGAP000036-RA
AGAP000037	AGAP000037-RA
AGAP000038	AGAP000038-RA
AGAP000039	AGAP000039-RA
AGAP000040	AGAP000040-RA
AGAP000041	AGAP000041-RA
AGAP000042	AGAP000042-RA
AGAP000043	AGAP000043-RA
AGAP000044	AGAP000044-RA
AGAP000045	AGAP000045-RA
AGAP000046	AGAP000046-RA
AGAP000047	AGAP000047-RA
AGAP000048	AGAP000048-RA
AGAP000049	AGAP000049-RA
AGAP000050	AGAP000050-RA
AGAP000051	AGAP000051-RA
AGAP000052	AGAP000052-RA
AGAP000053	AGAP000053-RA
AGAP000054	AGAP000054-RA
AGAP000055	AGAP000055-RA
AGAP000056	AGAP000056-RA
AGAP000057	AGAP000057-RA
AGAP000058	AGAP000058-RA
AGAP000059	AGAP000059-RA
AGAP000060	AGAP000060-RA
AGAP000061	AGAP000061-RA
AGAP000062	AGAP000062-RA
AGAP000063	AGAP000063-RA
AGAP000064	AGAP000064-RA
AGAP000065	AGAP000065-RA
AGAP000066	AGAP000066-RA
AGAP000067	AGAP000067-RA
AGAP000068	AGAP000068-RA
AGAP000069	AGAP000069-RA
AGAP000070	AGAP000070-RA
AGAP000071	AGAP000071-RA
