#EnsemblGeneID(0)	Chromosome(1)	ExonStart(bp)(2)	ExonEnd(bp)(3)	Strand(4)
AAEL003237	supercont1.82	1756998	1757071	+
AAEL003237	supercont1.82	1757140	1757486	+
AAEL003237	supercont1.82	1757547	1757815	+
AAEL014602	supercont1.1187	47363	47375	+
AAEL014602	supercont1.1187	48615	48826	+
AAEL014602	supercont1.1187	55774	55875	+
AAEL010223	supercont1.463	378111	378233	+
AAEL010223	supercont1.463	378311	378468	+
AAEL010223	supercont1.463	380616	380757	+
AAEL010223	supercont1.463	380821	381148	+
AAEL010223	supercont1.463	390945	391155	+
AAEL010223	supercont1.463	391217	391870	+
AAEL013583	supercont1.875	6001	6104	+
AAEL013583	supercont1.875	6325	6408	+
AAEL013583	supercont1.875	6554	7010	+
AAEL011704	supercont1.604	22562	22742	+
AAEL011704	supercont1.604	23555	25978	+
AAEL009206	supercont1.378	908281	908444	+
AAEL009206	supercont1.378	908513	909639	+
AAEL009206	supercont1.378	909768	910123	+
AAEL007506	supercont1.259	1393691	1394657	-
AAEL007506	supercont1.259	1394715	1395014	-
AAEL007506	supercont1.259	1402250	1409784	-
AAEL007506	supercont1.259	1420796	1423005	-
AAEL007506	supercont1.259	1439371	1439463	-
AAEL005550	supercont1.162	462228	462580	+
AAEL005550	supercont1.162	470472	471603	+
AAEL012547	supercont1.709	487753	488612	-
AAEL012547	supercont1.709	488859	488967	-
AAEL012547	supercont1.709	489030	489459	-
AAEL012547	supercont1.709	490611	490805	-
AAEL012547	supercont1.709	490872	490951	-
AAEL012547	supercont1.709	491016	491156	-
AAEL012547	supercont1.709	498339	498351	-
AAEL012547	supercont1.709	498444	498641	-
AAEL012547	supercont1.709	500731	500996	-
AAEL012547	supercont1.709	501059	501170	-
AAEL012547	supercont1.709	501249	501755	-
AAEL012547	supercont1.709	506874	508082	-
AAEL012547	supercont1.709	508779	508998	-
AAEL012547	supercont1.709	509097	509362	-
AAEL014889	supercont1.1326	52902	53226	-
AAEL014889	supercont1.1326	53288	53463	-
AAEL014889	supercont1.1326	64561	64766	-
AAEL014889	supercont1.1326	64833	64888	-
AAEL013940	supercont1.964	74491	76718	-
