#EnsemblGeneID(0)	ChromosomeName(1)	promoterStart(2)	promoterStop(3)	Strand(4)
AAEL000064	supercont1.1	34414	35413	+
AAEL000024	supercont1.1	66596	67595	+
AAEL000029	supercont1.1	85238	86237	+
AAEL000070	supercont1.1	103030	104029	-
AAEL000016	supercont1.1	227726	228725	+
AAEL000084	supercont1.1	271866	272865	-
AAEL000023	supercont1.1	290047	291046	-
AAEL000079	supercont1.1	321042	322041	+
AAEL000096	supercont1.1	452025	453024	+
AAEL000061	supercont1.1	453156	454155	+
AAEL000072	supercont1.1	528205	529204	+
AAEL000081	supercont1.1	537309	538308	-
AAEL000045	supercont1.1	559028	560027	+
AAEL000049	supercont1.1	567164	568163	-
AAEL015998	supercont1.1	756489	757488	+
AAEL000056	supercont1.1	763426	764425	+
AAEL000017	supercont1.1	849730	850729	+
AAEL000062	supercont1.1	890842	891841	+
AAEL000093	supercont1.1	1036310	1037309	+
AAEL000100	supercont1.1	1129757	1130756	+
AAEL000002	supercont1.1	1150653	1151652	+
AAEL000053	supercont1.1	1514075	1515074	-
AAEL000013	supercont1.1	1527739	1528738	+
AAEL000087	supercont1.1	1973249	1974248	-
AAEL000099	supercont1.1	2035345	2036344	-
AAEL000028	supercont1.1	2113463	2114462	-
AAEL000059	supercont1.1	2130130	2131129	-
AAEL000030	supercont1.1	2153426	2154425	-
AAEL000040	supercont1.1	2167373	2168372	-
AAEL000037	supercont1.1	2193032	2194031	-
AAEL000086	supercont1.1	2207581	2208580	-
AAEL000074	supercont1.1	2228580	2229579	+
AAEL000038	supercont1.1	2285008	2286007	-
AAEL000048	supercont1.1	2296545	2297544	+
AAEL000043	supercont1.1	2320199	2321198	+
AAEL000082	supercont1.1	2333463	2334462	+
AAEL000075	supercont1.1	2347850	2348849	+
AAEL000092	supercont1.1	2359717	2360716	+
AAEL000069	supercont1.1	2396507	2397506	-
AAEL000060	supercont1.1	2592889	2593888	+
AAEL000012	supercont1.1	2680591	2681590	+
AAEL000033	supercont1.1	2706708	2707707	-
AAEL000004	supercont1.1	2718270	2719269	-
AAEL000091	supercont1.1	2724359	2725358	-
AAEL000026	supercont1.1	2725733	2726732	+
AAEL000097	supercont1.1	2727508	2728507	+
AAEL000077	supercont1.1	2750948	2751947	-
AAEL000068	supercont1.1	2763664	2764663	+
AAEL000046	supercont1.1	2783353	2784352	-
AAEL000020	supercont1.1	2795903	2796902	+
AAEL000076	supercont1.1	2803838	2804837	-
AAEL000034	supercont1.1	2817026	2818025	-
AAEL000054	supercont1.1	2865078	2866077	-
AAEL000050	supercont1.1	2987303	2988302	+
AAEL000085	supercont1.1	3024477	3025476	-
AAEL000067	supercont1.1	3098741	3099740	-
AAEL000094	supercont1.1	3145075	3146074	-
AAEL000058	supercont1.1	3237279	3238278	+
AAEL000098	supercont1.1	3303716	3304715	-
AAEL000019	supercont1.1	3332430	3333429	+
AAEL000036	supercont1.1	3473143	3474142	-
AAEL000021	supercont1.1	3553356	3554355	-
AAEL000057	supercont1.1	3602864	3603863	+
AAEL000003	supercont1.1	3643561	3644560	+
AAEL000035	supercont1.1	3668785	3669784	-
AAEL000063	supercont1.1	3683394	3684393	-
AAEL000027	supercont1.1	3721835	3722834	+
AAEL000095	supercont1.1	3738394	3739393	+
AAEL000011	supercont1.1	3779043	3780042	-
AAEL000052	supercont1.1	3801163	3802162	-
AAEL000031	supercont1.1	3812465	3813464	-
AAEL000007	supercont1.1	3848316	3849315	+
AAEL000047	supercont1.1	3926597	3927596	-
AAEL000041	supercont1.1	3937734	3938733	+
AAEL000089	supercont1.1	3961969	3962968	-
AAEL000039	supercont1.1	3981858	3982857	-
AAEL000066	supercont1.1	4006359	4007358	+
AAEL000018	supercont1.1	4047153	4048152	+
AAEL000071	supercont1.1	4057611	4058610	-
AAEL000051	supercont1.1	4123658	4124657	+
AAEL000073	supercont1.1	4154467	4155466	-
AAEL000055	supercont1.1	4169601	4170600	-
AAEL000005	supercont1.1	4196253	4197252	+
AAEL000065	supercont1.1	4196908	4197907	-
AAEL000010	supercont1.1	4237834	4238833	-
AAEL000032	supercont1.1	4248096	4249095	+
AAEL000090	supercont1.1	4261499	4262498	+
AAEL000001	supercont1.1	4298426	4299425	-
AAEL000006	supercont1.1	4323669	4324668	-
AAEL000025	supercont1.1	4359570	4360569	-
AAEL000080	supercont1.1	4412646	4413645	+
AAEL015999	supercont1.1	4879026	4880025	+
AAEL000014	supercont1.1	4997173	4998172	+
AAEL000083	supercont1.1	5067803	5068802	+
AAEL000044	supercont1.1	5120443	5121442	-
AAEL000009	supercont1.1	5264495	5265494	-
AAEL016000	supercont1.1	5306392	5307391	+
AAEL016001	supercont1.1	5306575	5307574	+
AAEL016002	supercont1.1	5311191	5312190	+
AAEL016003	supercont1.1	5319651	5320650	+
AAEL000008	supercont1.1	5321403	5322402	-
AAEL000088	supercont1.1	5338302	5339301	+
AAEL000042	supercont1.1	5361377	5362376	-
AAEL000022	supercont1.1	5368841	5369840	+
AAEL000015	supercont1.1	5466187	5467186	-
AAEL000078	supercont1.1	5581863	5582862	-
AAEL016004	supercont1.1	5697801	5698800	+
AAEL016005	supercont1.1	5700866	5701865	+
AAEL016006	supercont1.1	5701034	5702033	+
AAEL016007	supercont1.1	5703139	5704138	+
AAEL016008	supercont1.1	5703322	5704321	+
AAEL016009	supercont1.1	5704270	5705269	+
AAEL016010	supercont1.1	5704699	5705698	+
AAEL016011	supercont1.1	5712129	5713128	+
AAEL016012	supercont1.1	5712328	5713327	+
AAEL016013	supercont1.1	5760160	5761159	-
AAEL016014	supercont1.1	5760330	5761329	-
AAEL016015	supercont1.1	5805130	5806129	-
AAEL000529	supercont1.10	44936	45935	-
AAEL000550	supercont1.10	106554	107553	+
AAEL000553	supercont1.10	180510	181509	+
AAEL000531	supercont1.10	185839	186838	+
AAEL000527	supercont1.10	198241	199240	+
AAEL000563	supercont1.10	207603	208602	-
AAEL000543	supercont1.10	236509	237508	+
AAEL000558	supercont1.10	334151	335150	+
AAEL000560	supercont1.10	355476	356475	-
AAEL000544	supercont1.10	371686	372685	+
AAEL000551	supercont1.10	411310	412309	+
AAEL000528	supercont1.10	582733	583732	+
AAEL000542	supercont1.10	646188	647187	-
AAEL000549	supercont1.10	807335	808334	-
AAEL000561	supercont1.10	912872	913871	+
AAEL000562	supercont1.10	938645	939644	-
AAEL000559	supercont1.10	943561	944560	+
AAEL000537	supercont1.10	1716980	1717979	+
AAEL000555	supercont1.10	1717226	1718225	+
AAEL000530	supercont1.10	2516721	2517720	+
AAEL000548	supercont1.10	2517907	2518906	+
AAEL000526	supercont1.10	2572291	2573290	+
AAEL000536	supercont1.10	2659576	2660575	-
AAEL000535	supercont1.10	2717237	2718236	+
AAEL000556	supercont1.10	2724072	2725071	-
AAEL000533	supercont1.10	2734152	2735151	+
AAEL000546	supercont1.10	2967721	2968720	+
AAEL016044	supercont1.10	2970696	2971695	+
AAEL000532	supercont1.10	3141063	3142062	-
AAEL000538	supercont1.10	3306787	3307786	-
AAEL000541	supercont1.10	3467578	3468577	+
AAEL000554	supercont1.10	3542688	3543687	-
AAEL000539	supercont1.10	3579213	3580212	+
AAEL000540	supercont1.10	3833045	3834044	+
AAEL000557	supercont1.10	3897909	3898908	+
AAEL000545	supercont1.10	4010093	4011092	+
AAEL000547	supercont1.10	4127808	4128807	+
AAEL000552	supercont1.10	4179339	4180338	-
AAEL000534	supercont1.10	4186297	4187296	+
AAEL003920	supercont1.100	20311	21310	+
AAEL003902	supercont1.100	274595	275594	+
AAEL003909	supercont1.100	493583	494582	-
AAEL003919	supercont1.100	530103	531102	+
AAEL003913	supercont1.100	610677	611676	-
AAEL003910	supercont1.100	612618	613617	+
AAEL003922	supercont1.100	636651	637650	-
AAEL003912	supercont1.100	637527	638526	-
AAEL003911	supercont1.100	662535	663534	-
AAEL003903	supercont1.100	677298	678297	+
